ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
1,,9 mins,24 mins,1 hour 13 mins,23 mins,25 mins,1 hour 15 mins,12 mins,9 mins,2 hours 16 mins,1 hour 10 mins,9 mins,6 mins,12 mins,10 mins,23 mins,26 mins,34 mins,24 mins,28 mins,25 mins,29 mins,37 mins,3 hours 16 mins,21 mins,18 mins,20 mins,14 mins,43 mins,31 mins,50 mins,30 mins,29 mins,53 mins,32 mins,34 mins,25 mins,23 mins,32 mins,29 mins,27 mins,16 mins,19 mins,22 mins,12 mins,17 mins,24 mins,11 mins,21 mins,32 mins,21 mins,14 mins,26 mins,29 mins,1 hour 38 mins,57 mins
2,9 mins,,18 mins,1 hour 14 mins,18 mins,20 mins,1 hour 9 mins,8 mins,11 mins,2 hours 17 mins,1 hour 8 mins,1 min,12 mins,14 mins,15 mins,21 mins,27 mins,29 mins,18 mins,23 mins,17 mins,25 mins,33 mins,3 hours 11 mins,21 mins,16 mins,14 mins,15 mins,44 mins,32 mins,46 mins,25 mins,25 mins,48 mins,29 mins,29 mins,20 mins,19 mins,19 mins,25 mins,23 mins,17 mins,17 mins,25 mins,15 mins,18 mins,20 mins,7 mins,16 mins,34 mins,19 mins,11 mins,23 mins,30 mins,1 hour 39 mins,58 mins
3,26 mins,18 mins,,1 hour 21 mins,25 mins,22 mins,1 hour 1 min,27 mins,24 mins,2 hours 14 mins,1 hour 2 mins,14 mins,24 mins,22 mins,20 mins,9 mins,11 mins,20 mins,error,14 mins,23 mins,28 mins,27 mins,3 hours 2 mins,39 mins,24 mins,35 mins,30 mins,39 mins,41 mins,34 mins,28 mins,28 mins,38 mins,18 mins,27 mins,19 mins,21 mins,25 mins,22 mins,26 mins,26 mins,28 mins,17 mins,27 mins,26 mins,33 mins,24 mins,23 mins,42 mins,28 mins,29 mins,26 mins,38 mins,1 hour 34 mins,50 mins
4,1 hour 10 mins,1 hour 4 mins,1 hour 22 mins,,1 hour 7 mins,1 hour 13 mins,2 hours 0 mins,57 mins,1 hour 5 mins,3 hours 23 mins,1 hour 48 mins,1 hour 3 mins,1 hour 8 mins,1 hour 9 mins,1 hour 16 mins,1 hour 13 mins,1 hour 13 mins,1 hour 16 mins,1 hour 22 mins,1 hour 12 mins,1 hour 11 mins,1 hour 17 mins,1 hour 13 mins,4 hours 0 mins,1 hour 19 mins,1 hour 3 mins,1 hour 22 mins,1 hour 3 mins,1 hour 18 mins,1 hour 17 mins,1 hour 38 mins,1 hour 18 mins,1 hour 17 mins,1 hour 46 mins,1 hour 14 mins,1 hour 8 mins,1 hour 23 mins,1 hour 11 mins,1 hour 9 mins,59 mins,1 hour 27 mins,58 mins,1 hour 8 mins,1 hour 17 mins,1 hour 9 mins,1 hour 16 mins,1 hour 0 mins,1 hour 6 mins,1 hour 4 mins,1 hour 12 mins,1 hour 1 min,1 hour 0 mins,1 hour 6 mins,1 hour 5 mins,1 hour 56 mins,1 hour 15 mins
5,23 mins,18 mins,23 mins,1 hour 11 mins,,21 mins,1 hour 9 mins,12 mins,12 mins,2 hours 17 mins,53 mins,18 mins,23 mins,22 mins,22 mins,22 mins,25 mins,30 mins,23 mins,24 mins,27 mins,25 mins,33 mins,3 hours 12 mins,29 mins,20 mins,32 mins,17 mins,29 mins,25 mins,46 mins,26 mins,25 mins,48 mins,28 mins,30 mins,21 mins,19 mins,25 mins,25 mins,23 mins,15 mins,7 mins,3 mins,15 mins,11 mins,10 mins,15 mins,5 mins,17 mins,3 mins,15 mins,6 mins,19 mins,1 hour 29 mins,42 mins
6,24 mins,19 mins,21 mins,1 hour 11 mins,20 mins,,1 hour 1 min,15 mins,13 mins,2 hours 23 mins,1 hour 10 mins,19 mins,24 mins,23 mins,25 mins,13 mins,16 mins,15 mins,21 mins,17 mins,11 mins,6 mins,11 mins,2 hours 57 mins,19 mins,27 mins,22 mins,18 mins,45 mins,46 mins,36 mins,6 mins,6 mins,28 mins,15 mins,17 mins,6 mins,5 mins,7 mins,10 mins,5 mins,18 mins,18 mins,27 mins,16 mins,23 mins,21 mins,16 mins,18 mins,41 mins,21 mins,18 mins,29 mins,38 mins,1 hour 29 mins,56 mins
7,1 hour 7 mins,1 hour 2 mins,51 mins,2 hours 2 mins,1 hour 2 mins,53 mins,,58 mins,55 mins,2 hours 59 mins,1 hour 46 mins,1 hour 2 mins,1 hour 3 mins,1 hour 0 mins,59 mins,50 mins,48 mins,55 mins,51 mins,50 mins,59 mins,58 mins,1 hour 1 min,3 hours 37 mins,1 hour 9 mins,1 hour 16 mins,1 hour 12 mins,1 hour 1 min,1 hour 19 mins,1 hour 19 mins,1 hour 5 mins,58 mins,58 mins,1 hour 17 mins,54 mins,58 mins,53 mins,52 mins,57 mins,53 mins,56 mins,1 hour 1 min,1 hour 1 min,55 mins,58 mins,1 hour 6 mins,1 hour 4 mins,58 mins,59 mins,1 hour 23 mins,1 hour 3 mins,1 hour 0 mins,1 hour 4 mins,1 hour 21 mins,2 hours 10 mins,1 hour 27 mins
8,17 mins,12 mins,26 mins,1 hour 9 mins,13 mins,17 mins,1 hour 5 mins,,8 mins,2 hours 21 mins,1 hour 0 mins,12 mins,16 mins,17 mins,16 mins,23 mins,26 mins,26 mins,26 mins,20 mins,23 mins,21 mins,29 mins,3 hours 8 mins,17 mins,20 mins,18 mins,13 mins,37 mins,22 mins,42 mins,22 mins,21 mins,44 mins,24 mins,26 mins,17 mins,15 mins,21 mins,21 mins,19 mins,11 mins,9 mins,11 mins,11 mins,15 mins,14 mins,6 mins,10 mins,28 mins,11 mins,10 mins,13 mins,24 mins,1 hour 28 mins,50 mins
9,15 mins,4 mins,25 mins,1 hour 14 mins,12 mins,14 mins,1 hour 2 mins,7 mins,,2 hours 16 mins,1 hour 0 mins,4 mins,9 mins,11 mins,13 mins,20 mins,24 mins,23 mins,25 mins,17 mins,20 mins,18 mins,26 mins,3 hours 5 mins,21 mins,16 mins,14 mins,8 mins,37 mins,27 mins,42 mins,19 mins,18 mins,47 mins,21 mins,23 mins,14 mins,12 mins,18 mins,18 mins,16 mins,10 mins,10 mins,19 mins,3 mins,15 mins,13 mins,3 mins,10 mins,30 mins,13 mins,10 mins,21 mins,28 mins,1 hour 32 mins,57 mins
10,1 hour 45 mins,1 hour 46 mins,1 hour 39 mins,2 hours 48 mins,1 hour 43 mins,2 hours 2 mins,2 hours 32 mins,1 hour 50 mins,1 hour 45 mins,,29 mins,1 hour 46 mins,1 hour 44 mins,1 hour 45 mins,1 hour 44 mins,1 hour 38 mins,1 hour 41 mins,2 hours 5 mins,1 hour 39 mins,1 hour 48 mins,1 hour 54 mins,2 hours 7 mins,2 hours 16 mins,4 hours 35 mins,2 hours 11 mins,2 hours 7 mins,1 hour 57 mins,1 hour 51 mins,1 hour 37 mins,1 hour 50 mins,2 hours 9 mins,2 hours 7 mins,2 hours 7 mins,2 hours 25 mins,1 hour 52 mins,2 hours 12 mins,2 hours 2 mins,2 hours 0 mins,2 hours 14 mins,2 hours 7 mins,2 hours 5 mins,1 hour 46 mins,1 hour 41 mins,1 hour 29 mins,1 hour 46 mins,1 hour 46 mins,1 hour 48 mins,1 hour 53 mins,1 hour 44 mins,1 hour 33 mins,1 hour 44 mins,1 hour 53 mins,1 hour 56 mins,1 hour 39 mins,53 mins,1 hour 18 mins
